msd_cattex_conv	TL	DMF
PON	-	-
PON	,	,
PONfrt	,	,
PON	;	;
PON	:	:
PONfrt	!	!
PONfrt	?	?
PONfrt	.	.
PONfrt	...	...
APD	.C.	cent
NOMcom	.C.	cent
APD	.I.	un
DET	.I.	un
APD	.II.	deux
APD	.III.	trois
APD	.IV.	quatre
APD	.IX.	neuf
APD	.L.	cinquante
APD	.LX.	soixante
APD	.V.	cinq
APD	.VI.	six
APD	.VII.	sept
APD	.VIII.	huit
APD	.X.	dix
APD	.XII.	douze
APD	.XIII.	treize
APD	.XL.	quarante
APD	.XV.	quinze
APD	.XVI.	seize
APD	.XVII.	dix-sept
APD	.XVIII.	dix-huit
APD	.XX.	vingt
APD	.XXI.	vingt-et-un
APD	.XXV.	vingt-cinq
APD	.XXX.	trente
PON	“	“
PON	”	”
PON	«	«
PON	»	»
PON	(	(
VER	(cliver)	cliver
NOMcom	(reversement)	reversement
PON	)	)
NOMcom	a	a
PRE	a	à
PRE	a.le	à.le
VER	aacier	aacier
VER	aaignier	aagner
VER	aairier	airier
NOMcom	aaisance	aaisance
NOMcom	aaise	aaise
NOMcom	aaisement	aisement
VER	aaisier	aaiser
ADV	aaisier (aaisieement)	aaisiement
VER	aancrer	aancrer
NOMcom	aatie	aatie
VER	aatiier	aatier
NOMcom	äatine	aatine
VER	aatir	aatir
NOMcom	aatison	aatison
VER	abaer	abéer
NOMcom	abai	aboi
NOMcom	abaiement	aboiement
VER	abaiier	aboyer
VER	abaillier	abailler
NOMcom	abaissance	abaissance
NOMcom	abaissement	abaissement
VER	abaissier	abaisser
NOMcom	abandon	abandon
APD	abandoneor	abandonneur
VER	abandoner	abandonner
ADV	abandoner (abandoneement)	abandonnément
VER	abassorer	abasseurer
VER	abastardir	abâtardir
APD	abastoné	abastonné
NOMcom	abatage	abattage
OUT	abataillier	abatailler
NOMcom	abatëiz	abattis
NOMcom	abatement	abattement
VER	abatre	abattre
VER	abaubir	abaubir
NOMcom	abc	abeçoi
NOMcom	abé	abbé
NOMcom	abeance	abéance
VER	abechier	abecquer
NOMcom	abeie	abbaye
NOMcom	abeille	abeille
VER	abelir	abellir
VER	abeneviser	abeneviser
NOMcom	abenge	abenge
VER	abesoignier	abesogner
NOMcom	abesse	abbesse
VER	abestir	abêtir
NOMcom	abet	abet
NOMcom	abeteor	abeteur
VER	abeter	abeter
NOMcom	abevrage	abreuvage
NOMcom	abevrement	abreuvement
NOMcom	abevreoir	abreuvoir
VER	abevrer	abreuver
NOMcom	abilité	habilité
VER	abiliter	habiliter
NOMcom	abillement	habillement
VER	abillier	habiller
NOMcom	abis	abysse
NOMcom	abisme	abîme
NOMcom	abit	habit
NOMcom	abitacion	habitation
NOMcom	abitacle	habitacle
NOMcom	abitant	habitant
NOMcom	abitement	habitement
NOMcom	abiteor	habiteur
VER	abiter	habiter
VER	abitüer	habituer
NOMcom	ablai	ablai
VER	ablaiier	ablayer
VER	ablandir	ablandir
NOMcom	ablatif	ablatif
APD	able	able
NOMcom	able	able
ADV	able (ablement)	ablement
NOMcom	ablée	ablée
VER	ablochier	abloquer
VER	abloqueler	abloqueler
VER	abochier	aboucher
VER	aböeter	abouter
VER	abolir	abolir
NOMcom	abome	abosme
APD	abominable	abominable
NOMcom	abominacion	abomination
VER	abominer	abominer
NOMcom	abondance	abondance
NOMcom	abonde	abonde
APD	abonder	abondant
NOMcom	abonder	abondant
VER	abonder	abonder
ADV	abonder (abondanmen)	abondamment
VER	abondir	abondir
APD	abondos	abondeux
VER	abonir	abonir
NOMcom	abonnage	abonnage
VER	abonner	abonner
VER	aborder	abourder
VER	aboschier	abosquier
VER	abosmer	abosmer
VER	abosmir	abosmir
NOMcom	abot	about
VER	aboter	abouter
VER	abotir	aboutir
VER	abracier	abrasser
NOMcom	abrasement	abrasement
VER	abraser	abraser
NOMcom	abregement	abrégement
VER	abregier	abréger
NOMcom	abrejance	abrégeance
VER	abreteschier	abretechier
VER	abrever	abrévier
NOMcom	abri	abri
VER	abriier	abrier
NOMcom	abrivement	abrivement
VER	abriver	abriver
VER	abrochier	abrochier
VER	abruire	abruire
VER	abscondre	abscondre
NOMcom	absence	absence
APD	absent	absent
NOMcom	absent	absent
NOMcom	absentacion	absentation
VER	absenter	absenter
NOMcom	absenter (absentement)	absentement
NOMcom	absince	absynthe
ADV	absolu (absolüement)	absolument
APD	absolu/assoudre	absolu
NOMcom	absolucion	absolution
APD	absort	absurde
VER	abuisoner	abuissonner
NOMcom	abuissail	abuissail
NOMcom	abuissement	abuschement
VER	abuisser	abuscher
VER	abulleter	abulleter
APD	abus	abus
NOMcom	abus	abus
NOMcom	abusage	abusage
NOMcom	abuseor	abuseur
VER	abuser	abuser
APD	abusif	abusif
NOMcom	abusion	abusion
VER	abuter	abuter
VER	abutiner	abutiner
VER	acanler	achanler
APD	acati	acheteif
NOMcom	accepcion	acception
APD	acceptable	acceptable
ADV	acceptable (acceptablement)	acceptablement
NOMcom	accès	aces
NOMcom	accident	accident
APD	accidentel	accidentel
NOMcom	accion	action
VER	aceindre	aceindre
NOMcom	aceint	aceint
NOMcom	aceinte	aceinte
VER	acener	acener
NOMcom	acense	accense
NOMcom	acensement	accensement
NOMcom	acenseor	accenseur
VER	acenser	ascenser
NOMcom	acensie	acensie
NOMcom	acension	enscension
VER	acensir	accensir
NOMcom	acensissement	accensissement
NOMcom	acent	accent
VER	acenter	accenter
VER	acentüer	accentuer
APD	acerbe	acerbe
APD	acerer	acéré
VER	acerer	acérer
NOMcom	acerëure	acérure
APD	acerin	acérin
NOMcom	acerin	acérin
VER	acertefiier	acertefier
VER	acertener	acertener
VER	acerter	acerter
NOMcom	acesmement	acesmement
VER	acesmer	acesmer
ADV	acesmer (acesmeement)	acesmément
VER	acesser	acesser
APD	acessoire	accessoire
NOMcom	acessoire	accessoire
VER	achaabler	accabler
VER	achacier	achasser
VER	achaillir/achali	achalir
VER	achaitiver	achétiver
VER	achalandé	achalander
VER	achanter	achanter
VER	achariier	acharrier
VER	acharner	acharner
NOMcom	achat	achat
APD	achatable	achetable
NOMcom	achatement	achètement
NOMcom	achateor	acheteur
VER	achater	acheter
NOMcom	ache	ache
VER	acheminer	acheminer
APD	achener	achené
APD	achenir	acheni
VER	achenir	achenir
VER	achevauchier	achevaucher
NOMcom	achevement	achèvement
NOMcom	acheveor	acheveur
VER	achever	achever
VER	achevir	achevir
NOMcom	acide	accide
APD	acidios	accidieux
NOMcom	acie	acie
NOMcom	acier	acier
VER	aclariier	aclaroyer
VER	aclarir	aclarir
VER	aclasser	aclasser
APD	aclin	aclin
NOMcom	aclineoir	aclinoir
VER	acliner	acliner
VER	acliqueter	acliqueter
VER	aclore	aclore
VER	aclosagier	acclosagier
VER	acoarder	accouarder
VER	acoardir	accouardir
NOMcom	acoillance	accueillance
NOMcom	acoillie	accueillie
VER	acoillir	accueudre
APD	acointable	accointable
NOMcom	acointance	accointance
APD	acointe	accointe
NOMcom	acointe	accointe
NOMcom	acointement	accointement
VER	acointier	accointer
NOMcom	acointise	accointise
ADV	acoisier	accoisément
VER	acoisier	accoiser
APD	acolé	accolé
NOMcom	acolee	accolée
VER	acoler	accoler
NOMcom	acolite	acolyte
NOMcom	acomblement	accomblement
VER	acombler	accombler
VER	acomencier	acommencer
NOMcom	acompagnement	accompagnement
VER	acompagnier	accompagner
VER	acomparagier	accomparager
VER	acomparer	accomparer
VER	acomplir	accomplir
APD	acomplissable	accomplissable
NOMcom	acomplissement	accomplissement
NOMcom	acomplisserresse	accomplisseresse
VER	acomuner	acommuner
VER	acomunier	acommunier
VER	aconduire	aconduire
OUT	aconforter	aconforter
VER	aconoistre	aconnoistre
VER	aconseillier	aconseiller
VER	aconsivre	aconsuivre
NOMcom	acont	acompt
NOMcom	aconte	acompte
NOMcom	acontement	acomptement
VER	aconter	acompter
VER	acontrer	acontrer
NOMcom	açopail	achoppail
NOMcom	acopart	achopart
VER	acopaudir	acoupaudir
NOMcom	açopement	achoppement
VER	açoper	eschoper
VER	acopler	accoupler
VER	acoragier	acourager
VER	acorber	acourber
NOMcom	acorcement	accourcement
VER	acorcier	accourcer
VER	acorcir	accourcir
APD	acordable	accordable
NOMcom	acordance	accordance
NOMcom	acorde	accorde
NOMcom	acordement	accordement
VER	acorder	accorder
ADV	acorder (acordanment)	accordamment
NOMcom	acordoison	accordaison
NOMcom	acorement	accourrement
VER	acorer	acorer
VER	acorner	acorner
VER	acorneter	acorneter
VER	acorre	accourir
NOMcom	acors	accours
VER	acorser	accourser
NOMcom	acort	accord
VER	acorter	acourter
VER	acortiner	acourtiner
VER	acosdre	acoudre
VER	acosiner	acousiner
NOMcom	acost	accost
VER	acoster	accoster
VER	acostoier	accostoyer
VER	acostrer	accoutrer
NOMcom	acostumance	accoutumance
APD	acostumee	accoutumé
NOMcom	acostumee	accoutumée
ADV	acostumeement	accoutumément
NOMcom	acostumement	accoutumement
VER	acostumer	accoutumer
APD	acostumier	accoutumier
ADV	acostumier (acostumierement)	accoutumièrement
NOMcom	acotement	accotement
VER	acoter	accoter
NOMcom	acouchier	accouchée
VER	acouchier	accoucher
NOMcom	acoup	acoup
VER	acouper	acoulper
VER	acoupir	acoupir
VER	acovenancier	aconvenancer
VER	acovenir	aconvenir
VER	acoverter	acouverter
VER	acoveter	acouveter
VER	acovrir	acouvrir
VER	acrampelir	acrampelir
VER	acraventer	acravanter
NOMcom	acre	acre
VER	acreanter	acréanter
NOMcom	acrebade	acrebade
NOMcom	acrocheteor	accrocheteur
VER	acrocheter	accrocheter
VER	acrochier	accrocher
VER	acroire	accroire
NOMcom	acrois	accrois
NOMcom	acroissement	accroissement
NOMcom	acroisseor	accroisseur
VER	acroistre	accroître
NOMcom	acropie	accroupie
VER	acropir	accroupir
NOMcom	acropir (acropi)	accroupi
VER	acrüir	acruir
APD	actif	actif
NOMcom	actif	actif
NOMcom	acueil	accueil
VER	acüer	aigüer
VER	aculer	acculer
VER	acumuler	accumuler
VER	acurer	acurer
NOMcom	acusacion	accusation
NOMcom	acusance	accusance
APD	acusatif	accusatif
NOMcom	acusatif	accusatif
NOMcom	acusement	accusement
NOMcom	acuseor	accuseur
VER	acuser	accuser
VER	adaignier	adaigner
VER	adaiier	adaier
VER	adamagier	adommager
APD	adamajable	adommageable
VER	adebonairir	adébonairir
VER	adeliier	adelier
VER	ademander	ademander
VER	ademetre	adémettre
APD	ademetre (ademi)	ademis
NOMcom	ademise	adémise
VER	adenerer	adenerer
VER	adenter	adenter
VER	adequer	adéquer
VER	aderer	adhérer
VER	aderir	adhérir
VER	aderrierer	aderrierer
ADV	adès	adès
APD	adès	adès
VER	adeser	adeser
ADV	adesseement	adesséement
APD	adestre	adextre
VER	adestrer	adextrer
VER	adevaler	adévaler (s')
VER	adevancier	adevancer
NOMcom	adevinaille	adevinaille
NOMcom	adevinal	adevinal
NOMcom	adevinement	adevinement
NOMcom	adevineor	adevineur
VER	adeviner	adeviner
NOMcom	adicion	addition
NOMcom	adinvencion	adinvention
VER	adire	adire
NOMcom	adire (adit)	adit
VER	adirer	adirer
APD	adjectif	adjectif
NOMcom	adjectif	adjectif
NOMcom	adjoint	adjoint
VER	adjugier	adjuger
NOMcom	adobement	adoubement
VER	adober	douber
VER	adodeminer	adodeminer
VER	adöer	adouer
VER	adoler	adouler
NOMcom	adolescence	adolescence
VER	adolir	adoulir
VER	adoloser	adoulouser
VER	adomestir	adomestir
VER	adominer	adominer
ADV	adonc	adonc
APD	adonc	adonc
NOMcom	adonc	adonaï
VER	adoner	adonner
NOMcom	adop	adoub
NOMcom	adopcion	adoption
VER	adosser	adosser
NOMcom	adoucement	adoucement
VER	adoucier	adoucer
VER	adoucir	adoucir
NOMcom	adras	adras
NOMcom	adrece	adresse
NOMcom	adrecement	adressement
NOMcom	adreceor	adresseur
VER	adrecier	adresser
ADV	adroit	adroit
APD	adroit	adroit
VER	aduire	aduire
NOMcom	adulacion	adulation
NOMcom	adultere	adultère
VER	adulterer	adultérer
VER	adunir	aünir
VER	adurcir	adurcir
VER	aduré	adurer
VER	advoquer	avoquer
NOMcom	aé	aé
VER	aemplir	aemplir
VER	aerdre	aerdre
NOMcom	aerdre (aers)	aers
APD	aeriien	aérien
APD	aerin	aérin
VER	aesmer	aesmer
NOMcom	afabilité	affabilité
APD	afable	affable
VER	afadir	affadir
NOMcom	afaire	affaire
NOMcom	afait	affait
NOMcom	afaitaison	affaitaison
NOMcom	afaitement	affaitement
NOMcom	afaiteor	affaiteur
VER	afaitier	effaitier
ADV	afaitier (afaitieement)	affaitiement
NOMcom	afaiture	affaiture
VER	afamer	affamer
NOMcom	afaneor	ahaneur
NOMcom	afeblïement	affaibliement
VER	afebliier	affaibloyer
VER	afeblir	affaiblir
VER	afecter	affecter
NOMcom	afectïon	affection
APD	afectüel	affectuel
APD	afectüos	affectueux
ADV	afectüos (afectüosement)	affectueusement
VER	afelonir	afelonir
VER	afemeniner	aféminer
APD	aferable	afférable
VER	aferir	afférir
NOMcom	afermacion	affirmation
NOMcom	afermage	affermage
NOMcom	afermance	affirmance
NOMcom	afermement	affermement
VER	afermer	affermer
ADV	afermer (afermeement)	affermément
VER	afetardir	afétardir
VER	afeutrer	affeutrer
NOMcom	afeutrëure	affeutrure
APD	afiable	afiable
NOMcom	afiaille	afiailles
NOMcom	afiance	affiance
VER	afiancier	afiancer
NOMcom	afichal	affichal
NOMcom	afiche	affiche
NOMcom	afichet	affiquet
VER	afichier	efficher
ADV	afichier (afichieement)	affichément
NOMcom	afiement	affiement
VER	afïer	affier
VER	afigurer	afigurer
VER	afiler	affiler
APD	afin	affin
NOMcom	afin	affin
NOMcom	afinement	affinement
NOMcom	afineor	affineur
VER	afiner	affiner
VER	afinir	afinir
NOMcom	afinité	affinité
APD	afirmatif	affirmatif
NOMcom	afirmative	affirmative
VER	afitier	afiter
VER	aflamber	aflamber
NOMcom	aflicion	affliction
VER	afligier	affliger
APD	aflire	afflict
VER	aflire	afflire
VER	aföer	affouer
NOMcom	afolement	affolement
VER	afoler	affoler
VER	afoletir	affoletir
NOMcom	afolëure	affolure
VER	afonder	affondrer
NOMcom	aforage	affourage
APD	aforain	aforain
NOMcom	aforain	aforain
VER	aforchier	affourcher
VER	aforcier	afforcer
VER	aforer	affourrer
VER	aforragier	affourager
VER	aforrer	affourrer
VER	afranchir	affranchir
VER	afrarir	afrerir
VER	afrener	afreiner
VER	afreschir	afraîchir
APD	african	africain
NOMcom	african	africain
VER	afriier	afriier
VER	afronter	affronter
VER	afruitier	afruiter
VER	afubler	affubler
NOMcom	afublëure	affublure
VER	afüir	affuir
VER	afuster	affûter
NOMcom	agace	agace
VER	agacier	agacer
NOMcom	agait	aguet
NOMcom	agaite	aguette
NOMcom	agaiteor	aguetteur
VER	agaitier	aguetter
VER	agarder/agarer	agarder
VER	agaster	agâter
VER	agastir	agâtir
NOMcom	agate	agate
VER	agencier	agencer
VER	agencir	agencir
VER	agenoillier	agenouiller
APD	agent	agent
NOMcom	agent	agent
NOMcom	agiet	ajet
NOMcom	agilité	agilité
VER	agister	agister
NOMcom	agnel	agneau
VER	agneler	agneler
NOMcom	agnelet	agnelet
APD	agnelin	agnelin
NOMcom	agnelin	agnelin
NOMcom	agniz	agnice
NOMcom	agoine	agonie
NOMcom	agot	agout
VER	agoter	agoutter
VER	agramir	agramir
OUT	agrandiier	agrandoyer
VER	agrandir	agrandir
NOMcom	agrape	agrappe
VER	agraper	agrapper
VER	agrapiner	agrappiner
VER	agrapir	agrappir
NOMcom	agravance	aggrevance
APD	agreable	agréable
ADV	agreable (agreablemen)	agréablement
VER	agreer	agréer
VER	agregier	agréger
VER	agregir	agregir
VER	agrener	agrainer
VER	agresser	agresser
APD	agreste	agreste
NOMcom	agreste	agreste
NOMcom	agrevement	agrèvement
VER	agrever	aggrever
NOMcom	agriculture	agriculture
VER	agrocier	agrocier
APD	agu	aigu
ADV	agu (agüement)	aigûment
NOMcom	agüece	aigüesse
VER	agüer	aigüer
VER	aguïer	aguier
NOMcom	aguille	aiguille
NOMcom	aguillete	aiguillette
NOMcom	aguilliee	aiguillée
NOMcom	aguillier	aiguillier
VER	aguillier	aiguiller
NOMcom	aguillon	aiguillon
NOMcom	aguillonement	aiguillonnement
VER	aguilloner	aiguillonner
VER	aguisier	aiguiser
VER	ahaitier	ahaitier
INJ	ahan	ahan
NOMcom	ahan	ahan
APD	ahanable	ahanable
NOMcom	ahanage	ahanage
NOMcom	ahaneor	ahaneur
VER	ahaner	ahaner
APD	ahanible	ahanible
APD	ahanier	ahanier
NOMcom	ahanier	ahanier
VER	aharnaschier	aharnacher
NOMcom	ahoc	ahoc
VER	ahochier	ahocher
VER	ahonnir	ahonnir
VER	ahontagier	ahontagier
VER	ahonter	ahonter
VER	ahontir	ahontir
INJ	ahors!	ahors
NOMcom	ahors!	ahors
VER	ahuchier	ahuchier
VER	ahurter	aheurter
INJ	aï	aimi
APD	aiable	aidable
APD	aidable	aidable
NOMcom	aidance	aidance
NOMcom	aïdement	aidement
NOMcom	aideor	aideur
NOMcom	aiderresse	aideresse
NOMcom	aidier	aidier
VER	aidier	aider
APD	aidif	aidif
INJ	äie	aïe
NOMcom	äie	aïe
NOMcom	aigle	aigle
NOMcom	aiglel	aigleau
NOMcom	aiglentier	engletier
NOMcom	aiglet	aiglet
NOMcom	aiglete	aiglette
ADV	aigre	aigrement
APD	aigre	aigre
NOMcom	aigrece	aigresse
NOMcom	aigrefin	aigrefin
NOMcom	aigremoine	aigremoine
APD	aigret/aigret	aigret
NOMcom	aigret/aigret	aigret
NOMcom	aigreté	aigreté
VER	aigrïer	aigrier
VER	aigrir	aigrir
NOMcom	aigrun	aigrun
NOMcom	aigue	eau
VER	aiguier	eauer
NOMcom	aiguiere	aiguière
NOMcom	ail	ail
NOMcom	aillet	aillet
NOMcom	ailliee	aillie
ADV	aillors	ailleurs
NOMcom	aim	ain
NOMcom	äimant	aimant
NOMcom	aime	aime
ADV	ainc	ains
APD	ainc	ains
ADV	ainçois	ainçois
APD	ainçois	ainçois
NOMcom	aine	aine
ADV	ainsi	ainsi
APD	ainsi	ainsi
ADV	ainz	ains
APD	ainz	ains
APD	ainzné	aîné
NOMcom	ainzné	aîné
NOMcom	ainzneage	ainsnéage
NOMcom	ainznee	aînée
NOMcom	ainzneece	aînesse
NOMcom	air	air
NOMcom	äir	aïr
NOMcom	airable	érable
NOMcom	airage	airage
NOMcom	äiraison	aïraison
NOMcom	aire	aire
NOMcom	äiree	aïrée
NOMcom	äirement	aïrement
VER	äireter	ahériter
VER	airier	airier
VER	äirier	arrher
ADV	äirier (äireement)	aïrément
APD	äiros	aïreux
ADV	äiros (äirosement)	aïreusement
NOMcom	ais	ais
NOMcom	aisance	aisance
APD	aise	aise
NOMcom	aise	aise
ADV	aise (aisement)	aisément
APD	aisible	aisible
VER	aisier	aiser
APD	aisier (aisié)	aisé
ADV	aisier (aisieement)	aisiement
APD	aisif	aisif
NOMcom	aisil	aisil
NOMcom	aisne	aisne
NOMcom	aisse	aisse
NOMcom	aissel	essieu
NOMcom	aissele	aisselle
NOMcom	aissil	aissil
NOMcom	aissin	aissin
NOMcom	aistre/astre	âtre
NOMcom	aitre	aître
NOMcom	aiuele	aïeul
NOMcom	aive	aive
ADV	äivement	aïvement
VER	äiver	aïver
NOMcom	ajambee	ajambée
VER	ajesir	agésir
VER	ajeter	ajeter
NOMcom	ajo	ajonc
VER	ajoindre	adjoindre
VER	ajointier	adjointer
NOMcom	ajoncion	adjonction
NOMcom	ajor	ajour
NOMcom	ajornee	ajournée
NOMcom	ajornement	ajournement
VER	ajorner	ajourner
NOMcom	ajostement	ajoutement
VER	ajoster	ajouter
VER	ajurer	adjurer
NOMcom	ajustement	ajustement
VER	ajuster	ajuster
NOMcom	ajutor	adjuteur
VER	alacier	alacier
NOMcom	alaitement	allaitement
VER	alaitier	allaiter
NOMcom	alambic	alambic
NOMcom	alan	alan
VER	alangorer	alangourer
VER	alargir	alargir
VER	alaschier	alaschier
VER	alaschir	alaschir
VER	alasser	alasser
NOMcom	alcion	alcyon
NOMcom	ale	ale
VER	alechier	allécher
NOMcom	alectoire	alectoire
NOMcom	alee	allée
NOMcom	alegacïon	allégation
NOMcom	alegance	allégance
NOMcom	alegement	allégement
VER	alegier	alléger
VER	alegir	allégir
VER	aleguer	alléguer
NOMcom	aleine	haleine
NOMcom	alejance	allégeance
NOMcom	alemandine	alabandine
APD	alemant	allemand
NOMcom	alemant	allemand
NOMcom	alemele	alumelle
NOMcom	alement	allement
NOMcom	alenaz	alenaz
NOMcom	alenee	haleinée
VER	alener	haleiner
VER	alenter	alenter
VER	alentir	alentir
NOMcom	aleoir	alloir
NOMcom	alerïon	alérion
NOMcom	aleron	aileron
NOMcom	alesne	alêne
NOMcom	alëure	allure
VER	alever	alever
NOMcom	alevin	alevin
APD	alexandrin	alexandrin
NOMcom	algebre	algèbre
NOMcom	alïance	alliance
VER	alicier	alicier
NOMcom	alie	alie
NOMcom	alïement	alliement
NOMcom	alïenacion	aliénation
VER	alïener	aliéner
NOMcom	aligement	alléguement
VER	alignier	aligner
APD	aliien	aliène
NOMcom	aliier	allier
VER	aliier	alloyer
NOMcom	aliment	aliment
VER	alimer	alimer
APD	alis	eslis
NOMcom	alisandre	alixandre
NOMcom	alise	alise
VER	alitier	aliter
NOMpro	Alixandre	Alexandre
NOMcom	allegorie	allégorie
NOMcom	alleluie	alléluie
NOMcom	alöe	aloue
NOMcom	alöé	aloès
NOMcom	alöel	aloyau
VER	alöer	allouer
NOMcom	alöete	alouette
VER	alogier	aloger
NOMcom	aloi	aloi
NOMcom	aloiere	aloière
NOMcom	aloigne	aloigne
VER	aloignier	aloigner
ADV	alonc	alonc
NOMcom	alongement	allongement
VER	alorder	alourder
ADV	alors	alors
NOMcom	alose	alose
VER	aloser	aloser
NOMcom	alquemie	alchimie
NOMcom	alteracion	altération
NOMcom	altercacion	altercation
VER	alterer	altérer
VER	alterner	alterner
VER	aluchier	alucher
NOMcom	alue	alue
NOMcom	aluè	alleu
APD	aluec	aluec
NOMcom	aluine	aluine
NOMcom	alumail	allumail
NOMcom	alumement	allumement
VER	alumer	allumer
NOMcom	alumerie	allumerie
NOMcom	alun	alun
NOMcom	alutel	aludel
APD	amable	aimable
VER	amaigrir	amaigrir
VER	amaigroiier	amaigroyer
VER	amaisier	amaisier
VER	amaisir	amaisir
VER	amaisnier	amaisnier
VER	amaisoner	amaisonner
VER	amaistroiier	amaîtrier
APD	amaladir	amaladi
VER	amaladir	amaladir
VER	amanagier	aménager
NOMcom	amance	amance
VER	amanchier	amancher
NOMcom	amande	amande
APD	amanevir	esmanevi
VER	amanevir	amanevir
NOMcom	amant	amant
NOMcom	amaritude	amaritude
VER	amaser	amaser
NOMcom	amasseor	amasseur
VER	amasser	amasser
VER	amater	amater
NOMcom	amaticle	amaticle
VER	amatir	amatir
NOMcom	ambages	ambages
NOMcom	ambasseor	ambasseur
APD	ambedos	ambedeux
APD	ambes	ambe
NOMcom	ambicïon	ambition
VER	ambïer	ambier
NOMcom	amble	amble
VER	ambler	ambler
NOMcom	amblëure	amblure
NOMcom	ambre	ambre
APD	ambrin	ambrin
NOMcom	ame	âme
NOMcom	ameçon	hameçon
NOMcom	amelete	amelette
VER	amembrer	amembrer
INJ	amen	amen
NOMcom	amenage	amenage
NOMcom	amendance	amendance
NOMcom	amende	amende
APD	amendé	alemandé
NOMcom	amendelier	amandier
NOMcom	amendement	amendement
NOMcom	amendeor	amendeur
VER	amender	amender
NOMcom	amendie	amendie
NOMcom	amendise	amendise
NOMcom	amenee	amenée
VER	amener	amener
NOMcom	amenistracion	administration
NOMcom	amenistrement	administrement
NOMcom	amenistreor	administreux
VER	amenistrer	administrer
NOMcom	amenistrerresse	administreux
VER	amenrir	amoindrir
NOMcom	amenrissement	amoindrissement
VER	amenroiier	amoindrier
VER	amentevoir	amentevoir
NOMcom	amentin	amantin
OUT	amentir	amentir
NOMcom	amenuisance	amenuisance
NOMcom	amenuisement	amenuisement
VER	amenuisier	amenuiser
APD	amëor	aimeur
NOMcom	amëor	aimeur
APD	amer	amer
NOMcom	amer	amer
VER	amer	aimer
ADV	amer (ameement)	aimément
NOMcom	amer (ameement)	aimé
ADV	amer (ameremen)	amèrement
VER	amerir	amerir
VER	amermer	amermer
NOMcom	ameroke	amourouque
NOMcom	amerté	amerté
NOMcom	amertor	amerteur
NOMcom	amertume	amertume
VER	amertumer	amertumer
VER	amesler	amêler
APD	amesrir	amesri
NOMcom	amessure	amesure
NOMcom	amesurement	amesurement
VER	amesurer	amesurer
ADV	amesurer (amesureement)	amesurément
NOMcom	ametiste	améthyste
VER	ametre	admettre
NOMcom	ami	ami
APD	amïable	amiable
ADV	amïablement	amiablement
NOMcom	amïableté	amiableté
NOMcom	amidon	amidon
NOMpro	Amiens	Amiens
NOMcom	amïet	amiette
NOMcom	amigaut	amigaut
VER	amignoter	amignoter
VER	aminer	aminer
APD	amirable	admirable
NOMcom	amiracion	admiration
NOMcom	amiral	amiré
NOMcom	amise	amise
NOMcom	amission	amission
APD	amistable	amistable
ADV	amistable (amistablement)	amistablement
NOMcom	amistage	amistage
NOMcom	amistance	amistance
NOMcom	amistié	amitié
NOMcom	amit	amict
VER	amoderer	amodérer
VER	amodiier	amodoyer
VER	amoiener	amoyenner
VER	amoistir	amoitir
NOMcom	amolïement	amolliement
VER	amoliier	amollier
VER	amolir	amollir
VER	amonceler	amonceler
APD	amonestatif	admonestatif
NOMcom	amonestement	admonestement
NOMcom	amonesteor	admonesteur
VER	amonester	admonester
NOMcom	amonesterresse	admonesteresse
APD	amoniac	ammoniac
NOMcom	amoniac	ammoniac
NOMcom	amonicion	admonition
ADV	amont	amont
APD	amont	amont
NOMcom	amont	amont
PRE	amont	amont
VER	amonter	amonter
NOMcom	amor	amour
APD	amorable	amourable
ADV	amorable (amorablement)	amourablement
VER	amoracier	amouracher
VER	amordre	amordre
VER	amorer	amourer
NOMcom	amorete	amourette
APD	amoros	amoureux
NOMcom	amoros	amoureux
ADV	amoros (amorosemen)	amoureusement
NOMcom	amors	amors
NOMcom	amorse	amorce
VER	amorser	amorcer
NOMcom	amorsure	amorsure
VER	amorter	amorter
VER	amortir	amortir
NOMcom	amortissement	amortissement
VER	amostrer	amontrer
APD	ample	ample
ADV	ample (amplement)	amplement
NOMcom	amplece	amplesse
NOMcom	ampleté	ampleté
VER	ampliier	amplier
NOMcom	ampole	ampoule
NOMcom	ampolete	ampoulette
VER	amüir	amuïr
NOMcom	amulaine	amulaine
VER	amuloner	ameulonner
VER	amuser	amuser
NOMcom	amustant	amustant
NOMcom	an	an
VER	an	amyt
NOMcom	anacorite	anachorite
NOMcom	ancele	ancelle
NOMcom	ancesserie	ancesserie
NOMcom	ancessor	ancêtre
APD	anchais/aucais	anchais
NOMcom	ancïeneté	ancienneté
APD	anciien	anciennour
NOMcom	anciien	ancien
ADV	anciien (ancïenemen)	anciennement
NOMcom	ancre	ancre
VER	ancrer	ancrer
NOMcom	ancro	ancro
NOMcom	andain	andain
NOMcom	andier	andier
NOMcom	andoille	andouille
NOMcom	ane	ane
NOMcom	anee	année
NOMcom	anëille	anille
NOMcom	anel	anneau
NOMpro	anel	annel
NOMcom	anelet	annelet
NOMcom	anemoine	anémoine
NOMcom	anete	anette
NOMcom	angarde	angarde
VER	angariier	angarier
NOMcom	ange	ange
NOMcom	angele	ange
NOMcom	angelet	angelet
APD	angelial	angeliel
APD	angelin	angelin
APD	angelique	angélique
NOMcom	angelot	angelot
APD	angevin	angevin
NOMcom	angevin	angevin
APD	anglais	anglais
NOMcom	anglais	anglais
NOMcom	angle	angle
NOMcom	angleçon	angleçon
NOMcom	anglee	anglée
NOMcom	anglet	anglet
