autresiment	
avalee	avalée
avaler	avaler
avancier	avancer
avancir	avancir
avantage	avantage
avantpié	avant-pied
avarice	avarice
aveine	avoine
avenanment	avenamment
avenement	avènement
avenir	avenir
aventure	aventure
aventuros	aventureux
aver	avare
averir	avérir
aversaire	adversaire
aversier	adversier
avesprer	avêprer
avilenir	avilenir
avillier	aviler
aviron2	aviron
avironer	avironner2
avis	avis
aviser	aviser
avöé	avoué
avogler	aveugler
avoiier	avoyer1
avoir	avoir1
avoutre	avoutre
avril	avril
avugle	aveugle
bäaillier	bâiller
bacheler	bachelier
bacin	bassin
bacon	bacon
bades	bades
bai	bai
baignier	baigner
baile	baile
baillie	baillie1
baillier	bailler1
bain	bain
baisier	baiser2
baissier	baisser
balancier	balancer
ban1	ban
banc	banc
bandon	bandon
baniere	bannière
banir	bannir1
barat	barat
barate	barate
barbacane	barbacane
barbe	barbe
barbé	barber
barbelé	barbelé
barbïolete	
bargaignier	barguigner
barge	barge1
baril	baril
barnage	barnage
baron	baron
baronaille	
baronie	baronnie
barre	barre
barrer	barrer
bas	bas
basme	baume
bastir	bâtir
baston	bâton
bastonet	bâtonnet
bataille	bataille
bataillier1	batailler
batel2	bateau1
batesme	baptême
batistere	baptistère
batre	battre
baucenc	baucenc
baule	baule1
baut	baud
bec	bec
bëer	béer
behorder	behorder
bel	beau
belement	bellement
beslic	belinc
bende	bande1
bender	bander1
benëir	bénir
berser	berser
besant	besant
bescuit	biscuit
besoigne	besogne
besoignier	besogner
besoing	besoin
beste	bête
bestïal	bestial1
bestorner	bistourner
beter2	béter2
betir	bétir
bevrage	breuvage
biauté	beauté
bien	bien
bienvenue	bienvenue
biere	bière1
bievre	bièvre1
bille1	bille1
bis	bis
bisse	biche1
blanc	blanc
blandir	blandir1
blasme	blâme
blasmer	blâmer
blason	blason
blé	blé
blecëure	blessure
blecier	blesser
blïaut	bliaud
blo	bleu
blont	blond
boce1	bosse
bocel3	bocel1
boche	bouche1
bochete	bouchette
bocle	boucle
boclé	boucler
boclete	bouclette
boçoiier	bossier
boçu	bossu
böele	boëlle
bofu	
bois	bois
boise2	
boisier1	boisier
boiste	boîte
boivre	boire1
bole2	bole
bolir	bouillir
bon	bon
bone	borne
bonement	bonnement
bonet	bonnet
bonté	bonté
boquerant	bougran
borc	bourg
borde1	borde1
borgne	borgne
borjois	bourgeois
borrel	bourreau2
boschage	bocage
bot1	bout1
bot2	bot4
bot4	bot2
boteillier	bouteiller
boter1	bouter1
boton	bouton
bouser	
bouzon	boujon
bovier	bouvier
brabançon	brabançon
brachet	brachet
braciee	brassée
bracier2	brasser
braidif	
braie	braie1
braier	brayer1
braire	braire
brait	brait
branche	branche
brandon	brandon
brant1	brant
bräon	braon
braz	bras
brese	braise1
bresil2	brésil
bret	bret1
bretesche	bretèche
breton	breton
bricoigne	
bricon1	bricon
brief	bref
briément	brièvement
brisier	briser
brive	
broce	brosse
broche	broche1
brochier	brocher
broigne	broigne
brosder	broder
bruil1	breuil
bruire	bruire
bruit	bruit
brun	brun
brunet	brunet
brunete	brunette
brunir	brunir
bu	bu
buef	boeuf
buer	
bufe	buffe
buire1	buire1
buiron1	buron
buisine	buisine
buissonos	
busche	bûche
cachet	cachet
cacier	
caille	caille1
canele	cannelle1
canivet	canivet
carole	carole
caroler	caroler
carrefor	carrefour
carrel	carreau
carrer	carrer	// carré
cartier	quartier1
cas2	cas2
casser	casser
cause	cause
ceindre	ceindre
ceintuir	
ceinture	ceinture
ceinturete	ceinturette
celee1	celée
celeement	celément
celer1	celer
celer2	cieler
cembel	cembel
cembeler	
cendal	cendal
cendre	cendre
cenele	cenelle
cener1	
cengle	sangle1
cengler	sangler
ceptre	sceptre
cercele	sarcelle
cercelet	
cerchier	chercher
cercle	cercle
cercler	
cerf	cerf
cert	cert
certain	certain
certainement	certainement
certement	
cervel	cerveau
cervele	cervelle
cerviz	cervis1
cervoise	cervoise
cesser	cesser
chace	chasse1
chacëor	chasseur
chacier	chasser
chäeine	chaîne
chaillo	caillou
chainse	chainse
chainsil	caisil
chaisne	chêne
chaitif	chétif
chaitiveté	chétiveté
chalant	chaland1
chalemele	chalemelle
chalemeler	chalemeler
chaloir	chaloir1
chalonge	challenge
chalongier	challenger
chalor	chaleur
chamberiere	chambrière
chamberlenc	chambellan
chambre	chambre
chambrete	chambrette
chamoiz	chamois
chamoissier	chamoiser
champ	champ
champagne	campagne
champaine	campane
champchëu	
champïon	champion
champir	champir
chancel	chancel
chanceler	chanceler
chançon	chanson
chandelier1	chandelier2
chandoile	chandelle
chanevaz	canevas
change	change
changëor	changeur
changier	changer
chanole	chanole
chant2	chant1
chanter	chanter
chanvre	chanvre
chape	chape
chapel2	chapeau
chapelain	chapelain
chapele	chapelle
chapelier1	
chaperon	chaperon
chaple	chaple
chapler	chapeler1
chaplëiz	chaplis
chapon	chapon
char1	char
char2	chair
charaie	charaie
charbon	charbon
charbonee	charbonnée
charbonier1	charbonnier1
chardenal	cardinal1
charge	charge
chargier	charger
charitable	charitable
charité	charité
charjable	chargeable
charme1	charme2
charme2	charme1
charmer	charmer
charpenter	charpenter
charpentier	charpentier
charre	charre
charrete	charrette
charreter	charreter
charretier	charretier
charreton	charreton
charriere	charrière1
chas	chas
chasse	châsse
chaste	chaste
chastel	château
chastelain	châtelain
chastelet	châtelet
chasti	chasti
chastiier	châtier
chastrer	châtrer
chasuble	chasuble
chat	chat
chatel	chatel
chauce	chausse
chaucëure	chaussure
chauciee	chaussée
chaucier1	chausser1
chaude	
chauf	chauve
chaufer	chauffer
chaut	chaud
chauz1	chaux
chëance	chance
chemin	chemin
cheminee1	cheminée2
cheminel	cheminel
cheminer	cheminer
chemise	chemise
chenu	chenu
chëoir	choir
cheval	cheval
chevalerez	
chevalerie	chevalerie
chevalier	chevalier
chevauchiee	chevauchée
chevauchier	chevaucher
cheveçaille	cheveçaille
chevece	chevèce
chevecine	chevecine
chevel	cheveu
chevelet	chevelet
chevelu	chevelu
chevestre	chevêtre
chevir	chevir
chevrueil	chevreuil
chiche1	chiche2
chief1	chef
chien	chien
chienes	
chienet	chiennet
chier	cher
chiere	chère
chierement	chèrement
chierir	chérir
chierté	cherté
chievre	chèvre
chöe	choue
chöete	chouette1
chois	choix
choisir	choisir
chose	chose
choser	choser1
ciel	ciel
cierge	cierge1
cime	cime
cimetiere	cimetière
cingler	cingler1
cire	cire
cisemus	cisamus
cité	cité
cive	cive
clamer	clamer
clamor	clameur1
clarté	clarté
clef	clef
cler	clair1
clerc	clerc
clerement	clairement
clergie	clergie
clerjon	clergeon
clice1	clisse
cliner	cliner
clo	clou
cloche	cloche
clochier	clocher2
clofichier	cloficher
clore	clore
cöardie	couardie
cöardise	couardise
cöart1	couard1
coche1	coche1
cocodril	crocodile
cöe	queue
cofre	coffre
coi1	coi
coife	coiffe
coigniee	cognée
coillir	cueillir
cointe	cointe
cointement	cointement
cointise	cointise
coisier	coiser
coite	coite1
col	cou
colee	colée
colëiz	coulis2
coler1	couler
coler3	collier1
colom	coulon1
colombe2	colonne
color	couleur1
colorer	colorer
comandement	commandement
comandëor	commandeur
comander	commander
comant	command
combatëor	combatteur
combatre	combattre
comble1	comble1
combler	combler1
comé	comé
comencier	commencer
comfaitement	confaitement
compagne	compagne
compagnie	compagnie
compagnon	compagnon
comparer2	comparer2
compas	compas
compasser	compasser
complaindre	complaindre
complainte	complainte
complie	complie
comun	commun
comunaument	communalement
comune	commune
comunement	communément
comuniier	communier1
comunïon	communion
concevoir	concevoir
concordance	concordance
conduire	conduire
conduit	conduit
conestable	connétable
confès	confès
confesse	confesse
confesser	confesser
confessïon	confession
confire2	confire1
confondement	confondement
confondre	confondre
confort	confort
conforter	conforter
confus1	confus
congié	congé
conin	connin
conjointure	conjoncture
conjöir	conjouir
conjurement	conjurement
conjurer	conjurer
conoissance	connaissance
conoistre	connaître
conquerre	conquérir
conquester	conquêter
conrëer	conréer
conroi	conroi
conscïence	conscience
conseil	conseil
conseillier1	conseiller2
conseillier2	conseiller1
consent	consent1
consentir	consentir
consiree	consirée
consirer	consirer
consivre	consuivre
conte1	comte
conte2	conte
contenance	contenance
contençon	contention
contenement	contènement
contenir	contenir
conter	conter
contesse	comtesse
contraire	contraire1
contrait	contrait
contrariier	contrarier
contrarïos	contrarieux
contratendre	contrattendre
contredire	contredire
contredit	contredit
contree	contrée
contrefaire	contrefaire
contrester	contrester
contretenir	contretenir
contrueve	contreuve
convers2	convers1
converser	converser1
convoiier	convoyer
cope1	coupe1
copel2	pécol
coper	couper
çoper	chopper
cor2	cor1
corage	courage
coraille	coraille
corajos	courageux
corbel	corbeau
corde	corde
cordele	cordelle
corëor	coureur
corgiee	courgée
corir	courir
corjon	corion
corneille1	corneille1
corneillier	cornouiller
corner	corner
cornu	cornu
coroie	courroie
corone	couronne
coronement	couronnement
coroner	couronner
corrocier	courroucer
corrompre	corrompre
corroz	courroux
cors1	corps
cors2	cours1
corsage	corsage
cort1	cour
cort2	court
cortine	courtine1
cortois	courtois
cortoisement	courtoisement
cortoisie	courtoisie
cosdre	coudre2
cosin	cousin
cost2	coût
coste2	côte
costé	côté
coster1	coûter
costoiier	côtoyer
costume	coutume
costumier	coutumier
costure	couture
cote1	coude
cote2	cotte
cotele	cottelle
couche	couche
couchier	coucher
coup1	coup
coupable	coupable
coupe	coulpe
coute	courte
coutel	couteau
covenable	convenable
covenance	convenance
covenant	convenant
covenir	convenir
covent1	convent
covent2	couvent
cover	couver
covertement	couvertement
covertor	couverteur
coverture	couverture
covine	convine
covir	
covoitié	
covoitier	convoiter
covoitise	convoitise
covoitos	convoiteux
covrir	couvrir
craisse	graisse
crapos	crapeux
cras	gras
crëance	créance
crëant	créant1
crëante	
crëanter	créanter
crenel	créneau
crenu	crenu
cresme	chrême
crester	crêter
crestïenté	chrétienté
crestiien2	chrétien
crever	crever
cri	cri
crïator	créateur
crïature	créature
criembre	craindre
crieme	creme2
crïer1	créer
crïer2	crier
crin	crin
crisolite	chrysolithe
cristal	cristal
croc2	croc1
croce	crosse
croie	craie
croire	croire
croisete	croisette
croisier	croiser
croisillié	
croissir	croissir
croistre	croître
croiz	croix
croler	crouler
crope	croupe
croser	creuser
crot	crot
cru	cru
crüauté	cruauté
crucefiier	crucifier
crucefis	crucifix
crüel	cruel
crüelment	cruellement
çucre	sucre
cuer2	coeur
cuerpous	
cuidier	cuider
cuir	cuir
cuire	cuire
cuiriee2	curée
cuisencenos	cuisançonneux
cuisençon	cuisançon
cuisine	cuisine
cuisse	cuisse
cuivre1	
cuivre2	cuivre1
culvert	culvert
cure	cure
cuve	cuve
däerrain	derrain
daim	daim
damage	dommage
damagier	dommager
dame	dame1
damoisel	damoiseau
damoisele	damoiselle
dan2	damedieu
dance	danse
dancier	danser
dangier	danger
danois	danois
dart	dard
date2	datte
dé1	dé1
debatre	débattre
deboissier	
debonaire	débonnaire
debonairement	débonnairement
debonaireté	débonnaireté
deboter	débouter
debrisier	débriser
decevoir	décevoir
dechëoir	déchoir
declin	déclin
decliner	décliner
decoler1	décoller
decorir	décourir
deduire	déduire1
deduit	déduit
defendre	défendre1
defens	défens
defense	défense
definaille	
definer1	définer1
definer2	définer2
defolëiz	
defoler	défouler
degoter	dégoutter
degré	degré
degrocier	dégrocier
deguenchir	
dehachier	déhacher
dehé	dehé
deignier	daigner
deintié	deintié
dëité	déité
dejangler	
dejeter	déjeter
delai	délai
delaie	délaie
delaiement	délaiement
delaiier1	délayer
delice	délice
deliié	délié
delit2	délit2
delitable	délitable
delitier	déliter
delivrance	délivrance
delivre	délivre2
delivrement	délivrement2
delivrer	délivrer1
deluge	déluge
demaine	demaine2
demainement	
demande	demande
demander	demander
demener	démener
dementer	démenter
demi	demi
demincier	démincer
demorance	demeurance
demore	demeure
demoree	demeurée
demorer	demeurer
demostrance	démontrance
demostrer	démontrer
denier	denier
denree	denrée
dent	dent1
departir	départir
depecier	dépecer
dependre	dépendre2
deplaindre	déplaindre
deport	déport
deporter	déporter
depriier	déprier
deputaire	députaire
deraisne	déraisne
deraisnier	déraisner
derompre	dérompre
desäancrer	desancrer
desabelir	désabellir
desäerdre	désaerdre
desafubler	desaffubler
desapert	desapert
desarmer	désarmer
desassembler	désassembler
desatemprer	désattempré
desavenir	désavenant
desaventure	désaventure
desbarater	débarater
desbuschier	débusquer
desceindre	desceindre
descendre	descendre
deschaitiver	
deschant	déchant
deschargier	décharger
deschaucier	déchausser
deschauz	déchaux
deschevaler	deschevaler
desciple	disciple1
descirier	déchirer
desclore	déclore
descochier	décocher
descolorer	décolorer
descombrer	décombrer
desconfire	déconfire
desconfort	déconfort
desconforter	déconforter
desconseillier	déconseiller
descorde	discorde
descosdre	découdre
descovenue	déconvenue
descovrir	découvrir
descricïon	description
descrire	décrire
descroistre	décroître
descuidier	
desdeignier	dédaigner
desdeignos	dédaigneux
